华  B-NAME
南  I-NAME
重  I-NAME
工  I-NAME
H  I-NAME
N  I-NAME
F  I-NAME
1  I-NAME
2  I-NAME
0  I-NAME
G  E-NAME
内  B-CATE
燃  I-CATE
叉  I-CATE
车  E-CATE
，  O
项  O
目  O
单  O
位  O
设  O
计  O
参  O
数  O
全  O
长  O
无  O
货  O
叉  O
m  O
m  O
4  O
4  O
5  O
0  O
有  O
货  O
叉  O
5  O
8  O
0  O
0  O
全  B-PAR
宽  I-PAR
车  I-PAR
轮  I-PAR
宽  E-PAR
m  O
m  O
2  O
2  O
0  O
0  O
车  O
架  O
宽  O
2  O
1  O
7  O
5  O
高  B-PAR
度  E-PAR
不  O
起  B-PAR
升  E-PAR
门  O
架  O
高  B-PAR
度  E-PAR
m  O
m  O
3  O
3  O
0  O
0  O
护  B-PAR
顶  I-PAR
架  I-PAR
高  I-PAR
度  E-PAR
2  O
5  O
7  O
0  O
作  O
业  O
时  O
最  O
大  O
高  B-PAR
度  E-PAR
（  O
带  O
挡  O
货  O
架  O
）  O
座  O
椅  O
面  O
至  O
护  O
顶  O
架  O
距  O
离  O
   O
。  O
中  O
联  O
重  O
科  O
F  O
D  O
3  O
0  O
/  O
3  O
5  O
/  O
3  O
8  O
内  B-CATE
燃  I-CATE
平  I-CATE
衡  I-CATE
重  I-CATE
式  I-CATE
叉  I-CATE
车  E-CATE
，  O
效  O
益  O
之  O
“  O
王  O
”  O
在  O
同  O
等  O
配  O
置  O
下  O
，  O
可  O
操  O
作  O
性  O
更  O
强  O
、  O
载  O
重  O
能  O
力  O
更  O
高  O
、  O
经  B-ADJ
济  E-ADJ
实  O
用  O
、  O
维  O
护  O
成  O
本  O
低  O
；  O
液  O
压  O
系  O
统  O
高  O
效  O
节  B-ADJ
能  E-ADJ
，  O
降  O
低  O
整  O
车  O
的  O
燃  O
油  O
消  O
耗  O
；  O
全  O
系  O
列  O
发  O
动  O
机  O
符  O
合  O
欧  O
洲  O
E  O
C  O
和  O
美  O
国  O
E  O
P  O
A  O
废  O
气  O
排  B-PAR
放  I-PAR
标  I-PAR
准  E-PAR
，  O
达  O
到  O
最  O
