标题,介绍,点击量,网址链接,PageUrl
厦工CCCD6(XG560S-DT2)侧面叉车,· 标准配备朝柴CY6102BG发动机，马力大、排放好、噪音低、油耗省；可选配五十铃6BG1-QP进口发动机；· 优化设计的变速箱散热系统及风道，保证整机散热高效、节能；· 车架采……, 2999,http://zj.lmjx.net/detail_MTEzNzM=.html,http://zj.lmjx.net/zj_class_22_112_0_1.html
安徽合叉7～9吨石材叉车,……, 788,http://zj.lmjx.net/detail_MTY1MzU=.html,http://zj.lmjx.net/zj_class_22_112_0_2.html
曼尼通TMT 25 S车载式伸缩臂叉装车,"提升能力2700 kg提升高度3.43 m最大荷载1.25 m最大荷载容量2000 m能源Diésel马达Kubota电机功率50 cv电机功率36,5 KW传输Hidrostát……", 471,http://zj.lmjx.net/detail_MTY5MjQ=.html,http://zj.lmjx.net/zj_class_22_112_0_3.html
三菱RBM20/25K(2.0~2.5T)多向前移式叉车,型号产地动力形式类型重量载荷中心距RBM20K欧洲AC 48VMulti-way Reach Truck2000 (kg)600 (mm)RBM25K欧洲AC 48VMulti-w……, 2282,http://zj.lmjx.net/detail_NjMy2---.html,http://zj.lmjx.net/zj_class_22_112_0_4.html
上力重工CPD20SA叉车,技术参数特性额定载荷kg2000载荷中心矩mm500起升高度mm3000自由起升高度mm135货叉尺寸L&times;W&times;Tmm920&times;122&times;……, 1730,http://zj.lmjx.net/detail_NTg59---.html,http://zj.lmjx.net/zj_class_22_112_0_5.html
林德A人下行三向窄通道叉车1.0-1.35吨,- 卓越的人机功效设计让司机不易疲劳和紧张，能够确保安全高效的工作。 - 三套制动系统和电子转向能在任何工况下对叉车进行安全控制……, 422,http://zj.lmjx.net/detail_MTg0MDE=.html,http://zj.lmjx.net/zj_class_22_112_0_6.html
曼尼通ME 320门架式叉车,"提升能力2000 kg提升高度3.30 m能源Electrique阶段Tier III电机功率9,6 KW电池48V 690Ah VA移动速度25 km/h液压65 - 145 (……", 463,http://zj.lmjx.net/detail_MTY5NDc=.html,http://zj.lmjx.net/zj_class_22_112_0_8.html
三一重工SCP300C2平衡重式叉车,安全可靠具有智能防倾翻保护技术、货物防跌落保护技术、倒车自动刹车技术、整机防火技术、驾驶室自动锁止技术等，整机各项安全性能世界领先……, 38,http://zj.lmjx.net/detail_Mjg1MTc=.html,http://zj.lmjx.net/zj_class_22_112_0_9.html
林德K(1.0-1.5t)人上行三向窄通道叉车,应用工况:- 该系列叉车可用于完成高层窄通道立体仓库中的存储，堆码和拣选等工作。司机驾驶室可以到达各层的货架高度，司机亦可选择站式或坐式操作……, 5727,http://zj.lmjx.net/detail_PARAM_MTEzNzM=.html,http://zj.lmjx.net/zj_class_22_112_0_1.html
福大FDM 8150T越野叉车,技术性能参数概要制造福大机械型号FDM8150T动力形式柴油 Diesel额定载荷Kg16000载荷中心距mm800尺寸起升高度mm3000自由起升高度mm195货叉尺寸mm160……, 2886,http://zj.lmjx.net/detail_IMAGE_MTEzNzM=.html,http://zj.lmjx.net/zj_class_22_112_0_1.html
