标题,介绍,点击量,网址链接,PageUrl
厦工XG580-DT2内燃平衡重式叉车,●标配锡柴CA6110动力、YQX100动力换挡变速箱，具有动力性好，扭矩大，加速快，效率高●采用高位进气方式并配置旋风式二级预滤器，提高进气系统清洁度，大大延长了发动机的使用寿命……, 1766,http://zj.lmjx.net/detail_MTQ3MDk=.html,http://zj.lmjx.net/zj_class_22_110_0_1.html
万力8吨内燃叉车, CPCD80 液力叉车是全国最新联合设计的新型叉车，其性能参数达到国际先进水平……, 2598,http://zj.lmjx.net/detail_NjM25---.html,http://zj.lmjx.net/zj_class_22_110_0_2.html
杭叉XF系列(New)1-3.5吨内燃平衡重式叉车,●全新的XF系列在节能、环保、舒适、可靠、安全等方面表现出色，成为满足您全方位需求的世界顶级叉车……, 11996,http://zj.lmjx.net/detail_MTAwOTE=.html,http://zj.lmjx.net/zj_class_22_110_0_3.html
凯斯586G内燃叉车,特性通过 Tier 3 认证的凯斯发动机非常可靠 在最恶劣环境中也可获得卓越的性能。可选装载控制装置 有助于实现平稳操作，将链条张力降至最低，以节约保养成本……, 899,http://zj.lmjx.net/detail_MTExMzc=.html,http://zj.lmjx.net/zj_class_22_110_0_4.html
中联重科FD50/60/70内燃平衡重式叉车,经济环保整机排放符合欧洲EU标准；液压系统高效节能，降低整车燃油油耗……, 312,http://zj.lmjx.net/detail_MjUxMjc=.html,http://zj.lmjx.net/zj_class_22_110_0_5.html
安徽合叉小4吨内燃叉车,……, 530,http://zj.lmjx.net/detail_MTY1MjM=.html,http://zj.lmjx.net/zj_class_22_110_0_6.html
现代CPCD40E(07)柴油叉车,更宽阔的操作视野与前代产品相比，加宽20mm门架轨道间距离，方向盘中未装显示盘，从而拓宽了操作视野。防止门架急下降及防倾斜功能采用具有倾斜自锁功能的多路换向阀，防止停车时门架倾斜……, 264,http://zj.lmjx.net/detail_MjQ3Mjg=.html,http://zj.lmjx.net/zj_class_22_110_0_27.html
大连叉车FD320平衡重式内燃叉车(28-32吨),……, 357,http://zj.lmjx.net/detail_MjA0NDQ=.html,http://zj.lmjx.net/zj_class_22_110_0_28.html
凯斯588G内燃叉车,特性通过 Tier 3 认证的凯斯发动机非常可靠 在最恶劣环境中也可获得卓越的性能。可选装载控制装置 有助于实现平稳操作，将链条张力降至最低，以节约保养成本……, 1766,http://zj.lmjx.net/detail_MTQ3MDk=.html,http://zj.lmjx.net/zj_class_22_110_0_1.html
林德H160柴油叉车,- 额定功率为129kW的帕金斯发动机，动力强劲，尾气排放符合欧洲III号阶段标准- 变速箱采用全自动三速DANA变速箱，起动平稳柔和- Kessler 重型驱动桥， 湿碟式制动器……, 1766,http://zj.lmjx.net/detail_MTQ3MDk=.html,http://zj.lmjx.net/zj_class_22_110_0_1.html
