标题,介绍
厦工XG580-DT2内燃平衡重式叉车,●标配锡柴CA6110动力、YQX100动力换挡变速箱，具有动力性好，扭矩大，加速快，效率高●采用高位进气方式并配置旋风式二级预滤器，提高进气系统清洁度，大大延长了发动机的使用寿命……
华力重工HL512B水平定向钻,整机特点：HL512B水平定向钻机采用一体式设计，整机结构布置合理、做工精细、造型美观、采用先进的自动换杆技术和电液控制技术，操作便捷，产品设计新颖、独特，技术达到国际先进水平……
徐工XZ160A水平定向钻,?动力头转速高：动力头转速高，可确保钻机铺管效率提高。?双速动力头：钻进、回拖时低速运行，确保顺利施工；接卸钻杆空载往返时，动力头可加速滑动，减少辅助时间，提高工作效率……
中联重科KSD25B型干湿两用水平定向钻孔机,性能参数达到国际先进水平，最大回拖力25t，最大扭矩11500N.m，最大扭矩对应的最高转速48rpm，最高转速110rpm……
威猛V750水平定向钻机,V750 by VBM Navigator?水平导向钻机，借助179千瓦东风康明斯发动机的强大动力，以及配备优质的液压组件，75吨级V750能够在各种有同要求的项目中大显身手……
恒天九五JVD-450水平定向钻,电路简单，故障率低；2、采用高性能合金钢齿轮齿条推拉，效率高，工作平稳；3、先进的液压系统比传统液压系统提高15-20%的工作效率，减少系统中的发热量50%，可节能15-20%；4……
北方交通ZDY3500L近水平定向钻机, 本煤层钻孔抽采;开掘瓦斯抽采巷道，穿层钻孔抽采邻近层瓦斯;直接在工作面或顶板布置走向，采用定向长钻孔技术，抽采本煤层和邻近层赋存的瓦斯……
海天路矿CZ系列冲击钻机,项目名称 技 术 参 数 CZ-5 CZ-6 CZ-8钻孔直径mm400-600600-1001000-1200400-600600-1001000-1200400-600600-……
德威土行孙MFD-180水平定向钻,MFD-180是一台履带式多功能钻机……
钻通zt-18型钻机,……
华力重工HL518B水平定向钻,该装备采用全液压控制及动力驱动技术，实现钻具的回转、推进、回扩、回拖及行走装置的驱动等功能，主要用于穿越公路、铁路、建筑物、河流，以及在闹市区、文物保护区、农作物和植被保护区等不易……
中海恒通HT-120L非开挖定向钻机,2012新款HT-120L钻机新增特点&gt;&gt;2012新款钻机增设动力分配箱，增加液压动力源，钻孔参数与功率更加匹配，提高作业效率和功率利用……
德航重工DH550B-L水平定向钻,……
谷登机械GD5000-LL型水平定向钻,动力源：主动力为东风康明斯392kw/2100rPm柴油机2台，根据工况需要可启动单机而不影响连续工作。如两 台发动机同时工作，可实现最大扭矩、最高转速、最大推拉力、最高推拉速度……
力士CTQ-D100水平定向钻,主要技术参数整机重量2.6T钻孔直径90-130mm外形尺寸4100×2030×2020钻孔深度30m行走速度2km/h一次推出长度2m爬坡能力30度工作气压0.5-0.7Mpa最……
山河智能SWWT85步履式三轴连续墙钻机,强劲平稳的动力头动力头由两台或三台特种恒功率电动机驱动，通过高强度、结构紧凑的行星齿轮箱和专用的主转动齿轮箱传动，具有强大施工扭矩及过载能力，最大转矩及堵转转矩均超过额定的3倍，能……
滨州钻机BZCDF150SDF车载式反循环动力头钻机,产品主要特点及用途：◎BZCDF150SDF是一种车载式反循环动力头钻机；钻机选用4×2专用钻井车底盘，配置玉柴YC6J180-33水冷四冲程增压中冷柴油发动机，排放标准国四；柴油……
上海金泰SG35A液压连续墙抓斗,SG系列液压连续墙抓斗是用于基坑围护、堤坝防渗、船坊围堰等形成地下连续墙的专用设备。同时也可用于施工方桩……
