标题,内容
东方红CCC系列侧面叉车,侧叉是一种新的机型，有如下优点：整车结构强健，驾驶舒服，便于维修；发动机性能可靠，动力强劲，用户可选配进口发动机；门架可以沿车身侧向伸出和收进，便于长形货物的装卸、堆垛和运。
林德P250其它种类叉车,根据人机工程原理设计的工作平台；林德数字控制(LDC)提供精确的控制；自动制动使得操作更安全；紧凑的车体在狭窄的环境中也能顺利工作。
林德L14APL16AP其它种类叉车,根据人机工程原理设计的控制方式使得所有的操作都十分舒适；林德数字控制(LDC)提供精确的控制；三套独立的制动系统，其中包括了松开行驶开关的自动制动；整体式的货叉架。
龙工LG15DR前移式叉车,?原装进口的CURTIS交流控制器，大功率MOSFETS驱动，高频、高效、安静，具有无级调速及反接制动功能。完善的温度保护和补偿功能实现热保护和稳定输出。
龙工LG750DTG石材专用叉车,?整车外形沿用龙工叉车统一的脸谱造型，外观新颖、整车线型简洁流畅、赏心悦目；?采用国际领先人机工程和CAE技术，加大了操作空间，驾驶员更加舒适，有效提高作业效率和安全；?机罩。
厦工XG530SDT2其它种类叉车,●采用意大利侧面叉车的先进结构，整机布局紧凑合理，车架采用箱型平面结构，具有车架刚性好，抗韧性强优点●选用国产优质发动机，易起动，耗油低，马力大，功率储备系数大。
厦工XG550SDT2侧面叉车,●优越的整机性能，高效的作业效率●新颖的外观造型，宽敞的驾驶操作空间，良好的视野●标配朝柴CY6102BG发动机，排放好，噪音低，油耗省●多种动力配置可供选择，满足不同用户的需求●。
厦工CCCD5(XG550SDT2)侧面叉车,·标准配备朝柴CY6102BG发动机，马力大、排放好、噪音低、油耗省；可选配五十铃6BG1QP进口发动机；·优化设计的变速箱散热系统及风道，保证整机散热高效、节能；·车架采。
美科斯12吨前移式叉车,1.M系列前移式蓄电池叉车整机设计以人机工程为主导思想，融合国际先进的理念和技术，具有良好的安全性、操纵性和舒适性;2.流线型的外观设计，简洁明快的颜色搭配，无污染、低噪音、低。
奥津CQD型前移式叉车,"CQD1.0前移式电动叉车高效节源高校的行驶及控制系统,更高速,工时更长。加强工作效率。控制方便利落人体工程学设计令使用更方便、更舒适、更安全。"
丰田RRE250前移式叉车,RRE250型号RRE250额定负载公斤2500负载中心毫米600全宽A毫米1270转弯半径B毫米1837护顶架高C毫米2198至货叉垂直面的长度D毫米1502。
