标题,内容
合力H2000系列1-1.8吨内燃平衡重式叉车,1.传动系统为合力自制，箱体制造和组装设备国际领先，箱体内关键部件采用进口件 。
合力αⅡ系列4吨平衡重式内燃叉车,1.整车采用大圆弧，流线型造型，美观大方，发动机罩、前仪表架等采用钢件压型，工艺精湛。2.宽视野门架，使驾驶者的视野更加宽阔 。
合力H2000系列4-5吨平衡重式内燃叉车,1.整车外观造型独特，流线性好，具有低噪、减震、防尘等优点，操作舒适，安全可靠。2.可根据需要，选择液力和机械不同传动系统的叉车 。
合力αⅡ系列5-7吨平衡重式内燃叉车,1.整机采用大圆弧流线型造型，美观靓丽；2.按人机工程学原理设计的操纵系统，方向机可调整角度，驾驶者视野开阔，舒适性好；3.采用引进日本先进技术生产制造的变速箱，性能可靠； 。
合力αⅡ系列2-3.5吨平衡重式内燃叉车,1.圆弧设计，流线造型，美观大方，工艺精湛。2.宽视野门架，使操作者能够更好的看清前方。3.空气吸入口位于护顶架支柱上方，使发动机免受尘土的困扰，动力性能得以优异的发挥 。
合力28-32平衡重式内燃叉车,CPCD300-Vo叉车，底盘采用国际主流化配置，叉车的性能通过优化组合，利用现代科学技术使一些装置具有智能化、自动化的功能，使整机具有良好的使用性与先进性 。
万力8吨内燃叉车,CPCD80液力叉车是全国最新联合设计的新型叉车，其性能参数达到国际先进水平 。
合力H2000系列12-13.5吨内燃平衡重式叉车,发动机系统：采用无锡CA6110/125ZT-HL20柴油机，6缸涡轮增压发动机，额定功率117KW，该发动机系统采用优化的配气及先进的燃油系统，具有油耗低、噪音低、结构紧凑、动 。
东方红CPCD505吨内燃平衡重式叉车,流畅的大圆弧流线曲面造型，整机外观豪华大方。低位大开放式踏板，方便司机上下车 。
东方红CPC404吨内燃平衡重式叉车,流畅的大圆弧流线曲面造型，整机外观优雅大气，并有效增强了整车的通过性。2、操作系统设计为带同步器的双杆操纵，操作柔和平稳 。
东方红CPCD30A23吨内燃平衡重式叉车,流畅的大圆弧流线曲面造型，整机外观优雅大气，并有效增强了整车的通过性。2、可调式的舒适座椅、方向盘，可根据操作者身材进行位置调节，操作更加轻便、舒适 。
合力H2000系列8-10吨进箱叉车,"市场上能进集装箱进行装卸作业的叉车一般都在5吨以下,在集装箱内进行一些超重货物的装卸时非常困难 。"
合力H2000系列14-18吨内燃平衡重式叉车,我公司14-18t叉车在设计上，应用了一些新技术，底盘配置国际主流化，主要性能参数达到国际上同类水平 。
江淮重工CPC（D）35H内燃叉车,型号、规格液力传动CPCD35H机械传动CPC35H动力形式柴油额定载荷kg3500载荷中心距mm500标准起升高度mm3000车体长度(无货叉）mm2745车体宽度mm1225 。
合力20-25平衡重式内燃叉车,性能上通过优化组合，利用现代科学技术使一些装置具有智能化、自动化的功能，使整机具有良好的使用性与先进性 。
合力αⅡ系列8-10吨平衡重式内燃叉车,整机采用大圆弧流线型造型，美观靓丽；部件整体喷丸油漆表面饱满光亮，附着牢固；2、按人机工程学原理设计的操纵系统，方向机可调整角度，驾驶者视野开阔，舒适性好；3、引进日本先进 。
合力42-46平衡重式内燃叉车,主要底盘及重要部件采用国际主流配置，主要配置如下：发动机：采用瑞典VOLVOTAD952VE的发动机，是目前市场上最新的电控发动机，该机拥有低速大扭据，使车辆具有最大功率和最 。
合力1-1.8t内燃平衡重式叉车,最新技术设计、制造的全新系列叉车，为您提供了卓越的工作性能。HELI叉车高水准的操作性能、舒适的驾驶感受、简易安全的操作，将使您的工作更加得心应手 。
虎力CPCD内燃叉车,&bull;外观造型线条圆滑流畅，呈现饱满的时尚动感&bull;采用人机工程学，各操纵部件实现了最佳组合提供了舒适的操作环境，降低操作人员的疲劳度&bull;具有强劲的功率、良好的 。
格瑞特CPCD50/60/70平衡重式内燃叉车,&mdash;&mdash;多种动力选择，可选装4缸、6缸、国产、进口多种柴油机，满足不同工况要求 。
格瑞特CPC30/CPCD30平衡重式内燃叉车,&mdash;&mdash;简洁流畅外形设计。&mdash;&mdash;国产、进口多种动力造型。&mdash;&mdash;引进技术：国内领先的机械、液力传动系统 。
格瑞特CPCD80/CPCD100平衡重式内燃叉车,&mdash;&mdash;选装国产品牌或进口柴油机。&mdash;&mdash;国内最先进液力传动-动力换挡传动系统。&mdash;&mdash;超强车身及工作装置设计 。
徐工XT530C内燃平衡重式叉车,?合理平稳的低重心以电脑数位模拟出最平稳的低重心，同时车体选用高强度钢板精密焊接而成，确保在搬运、行走过程中更稳健、可靠。?宽阔的腿部活动空间设计使驾驶员操作宽敞，上下方便 。
徐工XT550CD内燃平衡重式叉车,?一体化轧制高强度C型槽钢门架;?提高强度与承载性;?前后吊装位完美设计;?方便叉车经常性吊运或上下船作业;?高可靠性一体化安全架设计;?全新大圆弧设计制造精美，典雅 。
龙工LG160DT内燃叉车,?宽视野驾驶室，科学的人机工程设计，有效地加大了操作空间，提高了驾驶舒适度，大大降低了操作者的疲劳程度?整机稳定性好，采用气顶油制动系统，制动可靠，安全性高?宽视野门架，配备液压货 。
龙工LG15D内燃叉车,?整车采用先进的人机工程技术设计；?以电脑模拟出合理平稳的低重心；?起升系统采用宽视野门架；?采用大容量水箱 。
龙工LG45DTIII内燃叉车,?整车外形沿用龙工叉车统一的脸谱造型，外观新颖、整车线型简洁流畅、赏心悦目；?采用国际领先人机工程和CAE技术，加大了操作空间，驾驶员更加舒适，有效提高作业效率和安全；?机罩开启角 。
威盛石材专用叉车,“威盛”CPCD-70型内燃平衡重式叉车适用于石材、港口、码头、车站、仓库、建筑工地以及一般厂矿等进行货物装卸、搬运、堆垛作业，是理想的短途运输工具之一，更适用于作业环境恶劣、工作 。
山推SF100叉车,◆整机采用大圆弧流线型造型，从驾驶员座椅上可以看见配重的边缘设计，在倒车确定距离时可保证最佳的可见性；◆按人机工程学原理设计的操纵系统，方向机可调整角度，驾驶者视野开阔，舒适性 。
山推SF30T叉车,●工作装置滚轮式，“J”形内门架，“C”形外门架带自由提升、二级伸缩式门架，具有卓越的提升性能。●采用机械传动，前桥驱动，后桥转向，使该机具有优异的行驶、牵引性能 。
小松FD20T-17内燃叉车,●可操作性即便静止转向也能平稳启动轻松提举，无需加速引擎转向器转向轻便●安全性驾驶感应系统开阔优越的视野●舒适性双“悬浮”结构加宽地板以及宽敞防滑台阶操作员头部空间加大●环 。
厦工XG580-DT2内燃平衡重式叉车,●标配锡柴CA6110动力、YQX100动力换挡变速箱，具有动力性好，扭矩大，加速快，效率高●采用高位进气方式并配置旋风式二级预滤器，提高进气系统清洁度，大大延长了发动机的使用寿命 。
厦工XG5200-DT1内燃平衡重式叉车,●标准配备洛施LR6M3发动机，具有功率足、扭矩大、工作可靠、耗油低等显著特点●转向采用横置油缸式转向桥，全液压转向、具有转向灵活轻便，可靠性强等特点●双变（变速箱和变矩器）采用引 。
厦工XG575-DT5H内燃平衡重式叉车,●采用低转速、大扭矩的发动机，动力强劲、起动加速特性好●采用高低进气，有效降低发动机进气阻力，并设置沙漠预滤器过滤，大大提高发动机在粉尘大的工况下工作的使用寿命●采用石材车专用驱动 。
杭叉XF系列(New)1-3.5吨内燃平衡重式叉车,●全新的XF系列在节能、环保、舒适、可靠、安全等方面表现出色，成为满足您全方位需求的世界顶级叉车 。
