标题,内容
中联重科TC7035B16塔式起重机,?TC7035B16性能参数：性能参数及技术指标国内领先，达到国际先进水平a、最大臂长70m;臂长组合每5米递减，最小臂长40米;最大起重量16t;70m臂长时，臂尖最大吊重量。
江麓QTZ315A塔头式起重机,?电气控制系统采用PLC控制，提高了可靠性和安全性，三大机构全部采用业界领先的变频调速技术，关键电气元件采用国际知名品牌，如法国施耐德公司的低压电器，德国西门子的PLC可编程控制。
江麓QTZ315塔头式起重机,?电气控制系统采用PLC控制或智能化控制，提高了可靠性和安全性，三大机构全部采用业界领先的变频调速技术，关键电气元件采用国际知名品牌，如法国施耐德公司的低压电器，德国西门子的PL。
江麓QTZ63F塔头式起重机,?电气控制系统关键电气元件采用行业知名品牌，如天水二一三、法国施耐德公司的低压电器，可靠性高，便于维护。
石煤机QYS1.0Ⅱ1吨直臂式随车起重机,“石煤”牌系列随车起重机，是一种结构紧凑，操作简单，机动性强，安全可靠，并可加装各种附具，实现一机多能的起重运输设备。
骏通JSQ200直臂随车起重机,"■更高:四节主臂全伸长13.8m，最大起吊高度达15.6m■更强:加强型6边形起重臂截面,基本臂力矩219kN.m，第二臂段起重力矩达218kN.m。"
GTBZ43S型自行走直臂式高空作业平台,"●四轮驱动,四轮转向功能使其具备强大灵活的机动性能●全自动伸展轮轴●铝合金操作盒及控制面板更加坚固,也提高了防水性能●全封闭的线索设计，避免意外发生，导致昂贵线索替换●40%的爬坡。"
泰沃QTZ80自升式塔机,1)各项性能参数先进、起重力矩大、起升高度高、工作幅度大、作业空间广、使用效率高。
北方交通QUY55履带起重机,1.采用液压传动，液压先导控制技术，微动性能好，技术先进。2.起升机构、变幅机构及回转机构采用行星减速机，结构紧凑，重量轻，工作平稳，安全可靠。
愚公QYS2T12T直臂式随车起重机,1.基本配置：六边形四级单缸拉索同步伸缩吊臂，基本臂长4850mm，全伸臂长12500mm，液压油缸水平支腿、液压垂直支腿油缸，横向支腿跨距2220~5220mm;三点桥型支撑，上。
