标题,内容
虎力电子称重型手动液压搬运车, 采用最新设计的仪表，精度达到0.1%，最小刻度1KG 具有毛重、去皮、累计功能，密封要求符合IP65标准，冲洗方便 仪表具有低电压、缺纸、低温。
虎力简易型搬运车," 根据调查, 欧洲50%的搬运车实际使用的载重量都小于600公斤 可折叠, 轻巧灵活, 价格便宜。"
奥津CTY型手动堆高车," 适合于堆垛转运托盘货物 带附加装置能用于很多场合 CTY型手动液压堆高车起升量为500-2000kg,起升高度1600mm，2500MM或者3000MM 手动液压堆高车有单独泵驱。"
虎力5T重型手动液压搬运车,&bull;8毫米优质钢板精心打造&bull;高品质的重载型油缸和钢制车轮，可靠耐用&bull;适用于缺乏叉车或叉车无法进入的场合……
虎力标准型手动液压搬运车,&bull;采用宝钢优质4mm钢板无断点焊接强度可靠&bull;整体式铸造油缸，油缸下降速度不受载重的影响&bull;采用进口密封圈，活塞杆镀铬&bull;内部溢流阀提供过载保护，。
虎力低放型手动液压搬运车,&bull;低放型车适用于托盘低矮、空间狭窄的工作场合。
虎力JE型剪式升高型手动液压搬运车,&bull;电动起升，让使用更方便，更高效&bull;采用意大利进口海普泵站。
虎力镀锌手动液压搬运车,&bull;镀锌车油缸采用防漏设计，车架、手把、油缸等裸露在外部的零件全部经过镀锌处理，配置不锈钢轴承，耐磨尼龙轮，抗腐能力强&bull;不锈钢车除轮子、密封件以外所有零部件都采用。
虎力全电动托盘搬运车,&bull;该车为电动起升电动行走式托盘式搬运车&bull;采用意大利进口的海普泵站，让车起升更轻松&bull;采用美国进口的科第斯电控，来控制车辆的起升和行走&bull;采用意大。
虎力JL型剪式升高型手动液压搬运车,&bull;人体工程学手柄设计让操作者更舒适省力&bull;符合欧洲EN1745-4标准。
虎力HS型不锈钢剪式升高型液压搬运车,"&bull;是搬运车和平台车的有机结合&bull;当起升高度大于420mm时,叉腿稳定的撑住地面,防止滑动,达到刹车的效果&bull;符合欧洲EN1757-4标准。"
虎力HB型剪式升高型手动液压搬运车,"&bull;是搬运车和平台车的有机结合&bull;当起升高度大于420mm时,叉腿稳定的撑住地面,防止滑动,达到刹车的效果&bull;快起升油缸和按照人体工学设计的塑胶手柄、隔热舒。"
虎力纸筒型货物搬运车,&bull;适用于造纸、包装印刷、纺织等需要搬运圆柱型货物的行业。
虎力不锈刚手动液压搬运车,&bull;油缸、车架、轴承、销子、螺栓等均由不锈钢材料制造。
龙工LG15ETⅠ托盘搬运车,? 转弯半径小、车辆重心低，转向稳定性极佳 ? 操作手柄左右两侧均有上升下降按钮，非常方便操作 ? 操作手柄加装龟速开关，速度控制更加精准。
龙工BI手动搬运车,?Bi系列手动液压搬运车流线型设计，美观大方；?货叉和三角面板均采用大型模具整体切割和冲压，全自动焊接工艺，车体整机强度更高，表面更加平整光滑。
龙工LG10ED托盘堆垛车（简配）,?操作手柄设置紧急反向开关，大大提升行驶过程中的安全性 ?双门架采用复合门架（叉车槽钢和H型钢组合），坚固安全。
龙工LG10ED托盘堆垛车（高配）,?操作手柄设置紧急反向开关，大大提升行驶过程中的安全性 ?双门架采用双H型门架，坚固安全 ?系统中加装安全防爆阀，可以在液压软管失效情况下使货物不会快速下落，确保操作人员人身安全。
龙工LG15ET托盘搬运车（经济款）,?操作手柄设置紧急反向开关，大大提升行驶过程中的安全性 ?系统中加装安全防爆阀，可以在液压软管失效情况下使货物不会快速下落，确保操作人员人身安全。
龙工BIC 1.5T高起升搬运车,?具有搬运和工作平台的双重功能；?双活塞杆设计结构，车体低；?重载持续时间长 不易变形；?泵体过载保护作用 下降平稳 使用安全 ；?车架设计坚固 承载力强；?升降平稳 下降速度可控。
龙工DB 2.0T手动托运车,?模块式阀芯设计 让故障率降至最低；?独特的便捷士欧洲流线型手柄 手感倍加舒适；?摇臂采用45号钢锻造 大大提高抗弯性；?车身转向130度 不易引起侧翻；?重载持续时间长 不易变形。
龙工带秤搬运车,"?内置称重系统引进于世界知名品牌“Mettler Toledo""；?基本秤重功能：清零、去皮、清皮、校秤；?背光自动关闭，时间可设定；?自动关机功能；?IND212-501X系列有。"
龙工TF手动平台车,?双剪结构，平台起升更高；?剪叉材料均采用锰钢制作；?液压系统均带有溢流阀。
龙工LG20ET电动托盘搬运车,?特殊设计的交流驱动电机，提供更强动力，使作业更广泛有效；?世界一流的液压站，底噪音，小振动，密封性能好，空载满载下降速度自动调整，确保起升下降平稳可靠；?前后车架通过新型的上连杆。
龙工LG10ED托盘堆垛车（经济款）,?长臂手柄在行驶中更方便，更轻松实现转弯 设置紧急反向开关，大大提升行驶过程中的安全性 ?双门架采用复合门架（叉车槽钢和H型钢组合），坚固安全。
龙工LG20ETⅠ托盘搬运车,◆配置高端可靠原装进口的CURTIS控制器，大功率MOSFETS驱动，高频、高效、安静，具有无级调速及反接制动功能。
中方机械ZHBED系列电动托盘车,1）清洁环保：具有现代工业产品设计感和流畅感的独特外观造型；高效节能的电液控制系统，无污染；采用再生制动，减少机械磨损；液压产品低噪音化2）舒适性：仪表操纵台明快设计使叉车尽显高贵。
奥津NPV型手动搬动车,1． 8毫米优质钢板精心打造2． 高品质的重载型油缸和钢制车轮，可靠耐用3． 适用于缺乏叉车或叉车无法进入的场合。
奥津CTJ型手动堆高车,1． 采用最新设计的仪表，精度达到0.1%，最小刻度1KG2． 具有毛重、去皮、累计功能，密封要求符合IP65标准，冲洗方便3． 仪表具有低电压、缺纸、低温报警功能。
奥津NPD型电动搬运车,1． 电动行走，液压起升  2． 自重轻、车身低、操作轻巧、视野开阔3． 车架设计坚固，承载力强4． 起步平稳，电机输出电磁制动 5． 大容量牵引电瓶，确保长时间工作。
奥津NPH型高升程搬运车,"1． 是搬运车和平台车的有机结合?2． 当起升高度大于420mm时,叉腿稳定的撑住地面,防止滑动,达到刹车的效果?3． 快起升油缸和按照人体工学设计的塑胶手柄、隔热舒适、省时省力?。"
奥津NPA型手动搬动车,1．带手动缓降控制阀的油泵；2．3位的可调手柄；3．货叉下的推杆可调，以控制货叉最低高度；4．货叉前端为弧形，方便装卸货物；5．“C”结构的货叉可支撑重载，非常牢固；6．各活动处都。
奥津NPL型手动搬动车,1．日本专业技术及制造工艺的完美结晶2．超低高度，便于进入低托盘作业3．外形美观、结构钢性强、轻巧耐用4．三段式定位下降控制，操作轻便省力5．全车经磷化处理与烤漆，光泽度高且不易脱。
奥津NP型手动搬动车,1．日本专业技术及制造工艺的完美结晶2．外形美观、结构钢性强、轻巧耐用3．三段式定位下降控制，操作轻便省力4．全车经磷化处理与烤漆，光泽度高且不易脱落备注： 超宽、超长及其他任何特。
诺力ACS20手动搬运车,ACS20H/ACS20L不锈钢搬运车1KG=2.2LB 1INCH=25.4MM项目/型号ACS20HACS20L额定负载 Qkg20002000货叉最低高度 hmm8575货叉。
诺力AC系列手动搬运车,"Conforms to EN 1757-2油泵为整体密封式，关键部件采用德国进口原件,根除漏油的弊病，大小活塞杆镀铬结构牢固，有过载保护，下降速度控制，阀芯采用整体件，有别于分散零。"
山河智能SWEP20电动搬运车,搬运车是专用于对货物托盘进行转运的起重设备，主要应用于超市、仓库、货场等狭窄通道和有限空间内的中短距离高效装卸搬运工具 产品特点1）集六项国家专利于一身。
海斯特P3.0步行式托盘车,本产品具有结构坚固、动力强劲和可靠性强的特性，能够满足您节约成本的需求  根据应用需要，为叉车选择相应的配置，包括选择合适的承载能力、电机以及电池。
西林BFS搬运车,不锈钢手动液压搬运车具有较强的抗腐蚀能力，一般用于食品、化学品、水产品以及清洁物品的搬运，也可在冷库等环境中使用，如需特别要求，则在订货前说明。
科朗WP 3000 系列步行式电动托盘搬运车,步行式电动托盘搬运车几乎适用于任何工况应用 对于承载重量较轻的系列，WP2300是专为快节奏工况环境而设计，如在装卸平台与卡车间的货物装卸工作，或是任何需要极端灵活操作的地方。
梅狮CBY2.0S/CBY2.0SP电子称重型手动液压搬动车,采用进口密封镀铬活塞杆优质钢板，精心制造自制油泵，保质两年200°轻巧转向适合在狭小空间中使用。
永恒力AMW 22/22p手动液压搬运车,操作简便轻松操作的操纵杆，无论习惯左手或右手操作的用户，都能舒适操控 特殊的下降阀保证最重1000kg货物下降时都能异常平稳。
虎力快起升高级手动液压搬运车,"除了标准型车的所有性能外,还有以下特点&bull;独特的双层密封设计,可靠耐用&bull;快速起升,两个压程货叉就能接触到托盘底部，与标准型相比可以节省您半的时间&bull;人体工。"
奥津NPF型手动搬动车,"除了标准型车的所有性能外,还有以下特点：1． 独特的双层密封设计,可靠耐用2． 快速起升,两个压程货叉就能接触到托盘底部，与标准型相比可以节省您半的时间3． 人体工学设计的塑胶手柄。"
