标题,内容
恒特DMC200旋转冲击式钻机,   DMC200全液压旋转冲击式钻机系国内首创，动力头为冲击和旋转一体化设计，并具有反打功能;不仅能使钻机快速钻进一般岩层，而且实现了沙砾层以及鹅卵石层的迅速钻进;特别适合于基坑。
上海金泰GD-40全液压大口径钻机,  单位GD-40钻孔最大直径/Max.drillingdiameterm4.0钻孔最大深度/Max.drillingdepthm150最大提升力/Max.hoistingforc。
上工机械ZLD110/65-3-M2-CS钻孔机, ZLD系列三轴式连续墙钻孔机是应用于SMW工法的新一代地基加固施工设备，达到国际先进水平，具有完全自主知识产权，可广泛应用于高层建筑、地铁车站的深基坑围护，江河堤坝的防渗加固和软。
海天路矿电线杆钻孔机, 本机适用于冲打电线杆孔，高压电塔基础孔，一般地层打一个孔10-20分钟。本机也适用于软基础处理，建筑基础打桩，打井等工程。
北方交通ZDY3500L近水平定向钻机, 本煤层钻孔抽采;开掘瓦斯抽采巷道，穿层钻孔抽采邻近层瓦斯;直接在工作面或顶板布置走向，采用定向长钻孔技术，抽采本煤层和邻近层赋存的瓦斯。
上海金泰GD-25全液压大口径钻机, 单位GD-25钻孔最大直径/Max.drillingdiameterm2.5钻孔最大深度/Max.drillingdepthm150最大提升力/Max.hoistingforce。
上海金泰GPS-10工程钻机, 型号GPS-10底座通孔直径/Diameterofhole(m)1钻孔深度/Drillingdepth(m)50转盘最大扭矩/TorqueofRotarytable（kN.m）8。
山河智能SWDE165一体化潜孔钻机,（1）高效a、独特的长钻架结构，减少了钻机换杆的辅助时间、提高工作效率。可配装7-12m长钻杆，在台阶高度小于12m时采用单钻杆效果尤为显著。
徐工XZ160A水平定向钻,?动力头转速高：动力头转速高，可确保钻机铺管效率提高。?双速动力头：钻进、回拖时低速运行，确保顺利施工；接卸钻杆空载往返时，动力头可加速滑动，减少辅助时间，提高工作效率。
徐工XZ3000水平定向钻,?驾驶室：垂直升降式驾驶室，视野开阔，带冷暖空调，操作舒适。?发动机：双动力系统，任一发动机均可单独完成整车全部动作。
徐工XZ180水平定向钻,?双速动力头：钻进、回拖时低速运行，确保顺利施工；接卸钻杆空载往返时，动力头可加速滑动，减少辅助时间，提高工作效率。?橡胶履带：对道路、草坪和风景点的影响小。
徐工XZ500水平定向钻,?液压系统：采用了闭式节能回路、液压先导控制、电液比例控制等多项先进的控制技术。?回转：马达加减速机驱动，两档速度可调。?推拉：齿轮齿条推拉，两档调速，工作效率高。
山河智能SWDP100大直径随钻跟管钻机,▲ 国内唯一可进行随钻跟管桩工法（中掘工法）施工的桩工机械。▲ 可下大直径预制管桩（外径大于80cm），大幅提高成桩质量与桩承载力。
山河智能SWMD150多功能锚杆钻机,▲ 行走双速，移机方便；大节距宽履带，接地比压小。▲ 装配有前、后稳定支腿，可靠的保障钻机施工时的稳定性。▲ 钻架运动范围大，适应工作面广；给进/起拔力大、速度快。
山河智能SWSD3618套管式螺旋钻机,▲全液压驱动双动力头、恒功率变量、大扭矩输出 --全液压驱动的动力头具有恒功率变量的动力性能、转速可随负载自动调整，输出扭矩大、过载能力强，比电动式动力头体积更小、重量更轻、工作更。
建研JD110B全液压履带式多功能钻机,●高品质的配套件和最优化的匹配配套件均采用世界知名品牌的产品（如德国、意大利、美国、英国进口的液压件，韩国东明的行走机构等等），整机配置完全可以与进口钻机相篦美，配置科学、合理，性。
徐工XZ320D水平定向钻,·动力强劲：采用160/140kW大马力发动机，保证钻机能在各种复杂地质条件下，完成铺管作业。
徐工XZ320B水平定向钻,·动力强劲：采用160kW大马力发动机，保证钻机能在各种复杂地质条件下，完成铺管作业。
徐工XZ400A水平定向钻,·动力强劲：采用179kW柴油发动机，具有涡轮增矩特性，保证钻机能在各种复杂地质条件下，完成铺管作业。
徐工XZ5000水平定向钻,·发动机标选用原装进口VOLVO电喷发动机，燃油消耗率低，双发动机功率高达788kW，保证钻机能在各种复杂地质条件下使用，完成铺管作业，单一发动机可完成整车的全部动作。
徐工XZ1500水平定向钻,·发动机为康明斯六缸水冷式涡轮增压发动机，功率储备大，保证钻机能在各种复杂地质条件下，完成铺管作业。
土力机械SF-50长螺旋钻孔机,1，可变履带间距的旋挖钻机专业底盘(土力专利)，底盘履带总宽度可扩展，利于钻机的稳定性。三齿片履带板，低重心及配重的可调整设计布置，既保证了整机的稳定性，又满足运输的要求。
泰信机械KA2000液压螺旋钻,1.螺旋钻机装配可以根据用户对钻孔直径和钻孔深度的要求，定制相应的钻机和钻具型号，螺旋钻机到客户手中可以直接使用，节省用户前期准备时间，用户也可根据零部件图表对螺旋钻机结构和各部分。
中海恒通HT-16L/20L非开挖定向钻机,2012新款HT-20L钻机新增特点 &gt;&gt;钻机回转和推进动作速度都可实现无极调节，任意组合，根据钻孔条件需要，两操作手柄可任意停在合适的速度位置。
中海恒通HT-42L非开挖定向钻机,2012新款HT-42L钻机新增特点&gt;&gt;2012新款钻机增设动力分配箱，增加液压动力源，钻孔参数与功率更加匹配，提高作业效率和功率利用。
三力机械CFG-20型长螺旋钻孔机,CFG系列长螺旋深孔钻机是由河南省三力机械制造有限公司独立研制，制造生产的桩工机械产品。该系列产品是国家级工法--CFG工法专用施工钻机。
宏大钻孔HD118液压潜孔钻机,"HD118潜孔钻机是HD系列型钻机的经济版，为了提高产品的综合性能，本机型提高了提升机构,行走机构及整套系统液压元件的使用寿命及可靠性，发动机为双缸，从而大大降低油耗。"
华力重工HL515B水平定向钻,HL515B水平定向钻机采用一体式设计，整机结构布置合理、做工精细、造型美观、采用先进的自动换杆技术和电液控制技术，操作便捷，产品设计新颖、独特，技术达到国际先进水平。
华力重工HL530A水平定向钻,HL530A水平定向钻机是在充分吸收国内、外同类产品优点的基础上，结合国内市场需求特点开发出的一款新型钻机。整机性能优越、外形美观、制作精细。
