标题,内容
比亚迪CPD电动平衡重式叉车,高智能电控系统根据操作习惯和操作工况，该系统具有S/P/H不同的动力模式，如高动力举升、低动力行走等，可以让车辆在各种工况下灵活的发挥其的性能，达到最佳的能量使用效率，更加节能和环。
东方红CPD电动平衡重式叉车, 采用新型低转速大转矩直流串励起升电机，有效地提高了整车空载起升速度，提高了整车作业效率。
斗山BR电动平衡重式叉车,主要特点- 优化的操纵舱，尤其是FCU （前座舱单元），提供了一流的驾驶和操纵舒适水平。
斗山BS电动平衡重式叉车,主要特点- 为满足物流仓储、机械搬运、冷库、气调库、环保环境需要专门开发的电动叉车- AC系统，最先进的技术、最低维护、最可靠的使用。
斗山BRS前移式叉车,主要特点? 强大的交流供电生产力舒适的操作提高叉车性能，符合人体工程学设计的驾驶室，方便操作并帮助提高任何应用中的工作效率，从而提高了驾驶舒适度，继而直接提高生产力。
格瑞特CPD电动叉车,&mdash;&mdash;高容量蓄电池提供强劲动力，箱盖可90&deg;开启，更换蓄电池更方便。&mdash;&mdash;小直径宽基轮胎，承载性能好、重心低、稳定性好。
海斯特A1电动平衡重式叉车,A1.00-1.50XL型叉车提供其他经济型叉车所不具备的技术规格，轴距可变，可以轻松操纵，可以在狭窄的巷道内或者拥挤的装卸货架仓内进行急转弯。
海斯特AXL电动平衡重式叉车,驱动马达：大扭矩，爬坡性好，可靠性高，最佳动力选择;液压和转向马达：承载能力强，提升速度快，转向反应迅速;全晶体管控：&ldquo;低噪音，减少驾驶疲劳，减少对其他人的影响，强负荷。
海斯特EZ电动平衡重式叉车,我们的交流控制器和无刷感应牵引电动机使得方向的调节比以往任何时候都更加迅速、更加顺畅，这种反应能力的提高将会直接导致每次搬运货物量的增加，并且能够最大限度地提高工作效率。
海斯特EXN电动平衡重式叉车,最新设计的驾驶室为操作人员提供了一个异常舒适的工作环境，这将大大提高操作人员的工作效率，整个底板面积增加了20％，与以前的型号相比，前后脚的空间面积也增加了10％。
海斯特E70Z电动平衡重式叉车,MONOTROLTM单一踏板控制前进、后退、加速，提高工作效率;驱动电机采用先进的交流电机 优点：无碳刷和换向器，降低维护费用。
海斯特JEX电动平衡重式叉车,下沉式电瓶布置，提高整车稳定性； 采用交流电机控制系统，降低维护费用，提高再生制动性能和叉车操控性，更加省电； 单一踏板控制前进、后退、加速，提高工作效率； 预设4种动力模式（1-。
