标题,内容
VSSCR-1000连续式稀浆封层机,VSS 公司致力于开发各种路面养护设备和技术，它推出了 VSS Minimac CR-1000 &mdash;&mdash;世界上唯一的可进行连续式稀浆封层和改性稀浆封层摊铺的设备。
VSS稀浆封层/微表处施工设备,VSS 公司根据自己许多年来的施工经验而设计生产出了卡车安装的微表处施工设备Macropaver -12B（简称MP-12B型），由于具有自动化程度高、产量大、操作简单实用、费用低。
VSS小型稀浆封层机, 怎样找到解决中小型稀浆封层公路维护的方法呢？答案在这里，美克机，世界上第一台成功的单人操作，自驱式稀浆封层机。
百灵超粘磨耗层设备,概念 超粘磨耗层技术是指采用超粘磨耗层核心设备同时喷洒乳化沥青粘结料、摊铺拌合玻璃纤维的超粘磨耗冷拌混合料，经碾压后形成新的磨耗层或者应力吸收中间层的一种新型道路养护和建设施工技术。
百灵微表处及稀浆封层设备,位于德国Remshalden的百灵公司多年来致力于微表处及稀浆封层技术的研究，所生产的设备工艺精良，性能卓越，尤其以其计量精确，施工质量可靠而闻名。
北方交通KFM5252TYHFC（泵送）稀浆封层车,1.采用德国MAN（曼）性能优越的陕汽德龙重载型二类底盘；2.整车采用全液压驱动，并采用国际知名品牌液压元件，可靠性好；3.全新设计的双轴叶片式拌和仓，搅拌出料更快、更强；4.拌合。
达刚DGL5310TFC –X124型纤维微表处/稀浆封层车,纤维微表处/稀浆封层车是在吸收国内外先进技术的基础上、自行研制的具有国际先进水平的智能化路面养护机械。
达刚DGL5310TXJ型微表处稀浆封层车,微表处/稀浆封层车，是继沥青脱桶设备之后又一款拥有世界独创技术无辅助发动机、无需重新标定、计算准确、摊铺质量好的高智能、高品质、节能环保型产品。
德润HTN5250TFC稀浆封层车,稀浆封层车主要用来处理道路表面的摩阻力下降、裂缝、车辙等病害，以提高路面的抗滑性和防水性，改善路面平整度和行车舒适性从而达到“返老还新”的效果。
高远圣工HGY5251TFC稀浆封层车, HGY5251TFC型微表处摊铺车（稀浆封层车）是我公司在吸取国外先进技术的基础上自行研制开发的具有国内先进水平的道路养护施工设备，拥有独立自主的知识产权。
高远圣工HGY5311TFC稀浆封层车, HGY5311TFC型微表处摊铺机（稀浆封层机）主要用来处理道路表面的磨阻力下降、裂缝、车辙等病害，以提高路面的抗滑性和防水性，改善路面平整度和行车舒适性从而达到“返老还新”的效。
高远圣工HGY5312TFC纤维稀浆封层车,HGY5312TFC型纤维稀浆封层车主要用来处理道路表面的摩阻力下降、裂缝、车辙等病害，以提高路面的抗滑性和防水性，改善路面平整度和行车舒适性从而达到“返老还新”的效果。
河南鼎诚DCNTF0810粘透封专用车,1整机采用进口道依茨大功率发动机，动力强劲，可轻松实现改性沥青（改性乳化沥青）的粘层、透层及稀浆封层和微表处施工工艺，同时可进行粘层和稀浆封层（微表处）复合工艺施工；2整机实现沥青。
