标题,内容
宏大HD2000型铣刨机,HD2000型路面铣刨机是西安宏大交通科技有限公司最新推出的一款经济型高智能化路面铣刨机；凝聚了近十年来“宏大人”在路面铣刨机研究领域积累的最新研究成果和丰富工程经验；集中展现了。
陕建机CM1001路面铣刨机,.适用于城市道路、各等级沥青路面的清除和剥离.行走系统采用四轮液压系统.四立柱升降，二级皮带前输料.应用CAN总线技术，选用德国Intercontrol公司的DiasyCGC和CT。
陕建机CM2000路面铣刨机,.用于高等级沥青、水泥路面的大面积修复.方向和切深控制采用数字电液比例系统.600马力的发动机功率，动力强劲.34吨的工作重量保障大负荷的作业能力。
厦工XG12120G铣刨机,?动力强劲，节能环保：选用上柴涡轮增压空空中冷发动机，发动机功率224kW，是目前同一型号铣刨机功率最大的；功率强劲，爬坡性能好；发动机符合国Ⅱ排放标准。
威平WRS190铣刨机,【适用范围】◆对混凝土、沥青道路、环氧树脂、耐磨地面进行轻度拉毛◆去除地面涂层、油漆、各种道路标线◆地面受损、积污需要翻新时，去除旧地坪表面【产品特点】◆具有4根刀轴的长。
威平WRS200铣刨机,【适用范围】◆对高速铁路的桥梁防水层的基面清理、找平施工◆对混凝土、沥青道路、环氧树脂、耐磨地面进行轻度拉毛◆去除地面涂层、油漆、各种道路标线◆地面受损、积污需要翻新时，去。
威平WRS255铣刨机,【适用范围】◆去除地面涂层、油漆、各种道路标线◆对高速铁路的桥梁防水层的基面清理、找平施工◆对混凝土、沥青道路、环氧树脂、耐磨地面进行轻度拉毛◆地面受损、积污需要翻新时，去。
山推SM100MT3路面铣刨机,●核心部件选用国际知名品牌产品:Rextoth液压泵、液压马达及铣刨鼓减速机;WPT离合器(含直角箱);盖茨传动皮带等。
山推SM200M3路面铣刨机,"●配置600马力的美国康明斯QSX15C600全电控柴油发动机,符合欧II排放标准,动力强劲,功率自动分配,节能高效。●机械驱动铣刨鼓,传动效率高。"
徐工XM200K路面铣刨机,·高强度皮带驱动铣刨转子，使用可靠，工作效率高。·四履带行走驱动系统，牵引能力强;四种转向模式，机动灵活。·全自动功率调节系统，可实现铣刨功率和驱动功率之间的自动分配。
友一机械FACB250铣刨机,·主轴轴承选用国际知名NSK外球面向心轴，以确保机器适应强负荷，高转速的工作状态。·刀片采用进口优质硬合金，锋利耐磨，使用寿命长。·刀鼓采用涨紧套连接，扭矩大抗冲击。
北方交通1200DB铣刨机,1.本机行走部分为4×2液压独立驱动，是我公司专利技术；2.动力匹配得当，与机械桥式铣刨机相比，效率更高且使用成本较低；3.在铣刨中路面产生错台时，仍能保证正常铣刨，而机械桥式铣刨。
北方交通KFX1000DB铣刨机,1.本机行走部分为4×2液压独立驱动形式，是我公司专利技术；2.采用液压驱动减速机，整机运行稳定；3.动力匹配得当，与机械桥式铣刨机相比效率更高，且使用成本较低；4.行走系统配有液。
北方交通KFX1200QDB,1.本机行走部分为4×2液压独立驱动形式，是我公司专利技术；2.在铣刨中路面产生错台时，仍能保证正常铣刨，而机械桥式铣刨机则无法进行正常作业；3.动力匹配得当，与机械桥式铣刨机相比。
北方交通KFX1000Q铣刨机,1.采用四轮驱动，发动机功率强劲，牵引力大；2.行走系统配有液压差速锁，保证直行不打滑，适应各种艰难路况；3.有可靠的行车制动和驻车制动功能，保证坡上行驶、驻车安全；4.水箱容积大。
徐工XM100Ⅱ路面铣刨机,"1.该机铣刨宽度为1020mm,一遍最大铣刨深度120mm,刀具间距15mm。2.铣削转子通过三条具有张紧装置的链条驱动。3.具有行走和铣刨两档速度。"
华通动力LXZY500B型路面铣刨机,1.可靠的动力引进德国道依茨技术生产的风冷发动机，性能稳定可靠。2.机动、灵活的行驶方式轮胎自行式底盘，调头灵活、方便，转场快速、机动。
中联重科BG2100路面冷铣刨机,2002年中联重科推出现代路面养护的最完美设备——BG2000路面冷铣刨机机电液一体化高度集中的智能型品格全电子马达管理系统铣刨深度自动控制技术和自动调平系统功率自动分配控制技术。
柳工CLG51002四驱铣刨机,CLG51002铣刨机融合国际先进技术，国内率先采用全液压行走和全液压铣刨技术，能够铣刨沥青混凝土路面，水泥混凝土路面和稳定土层，是高速公路、机场、各级道路养护和市政工程公司的理。
阿特拉斯·科普柯DynapacPL1000铣刨机,DynapacPL1000是一款功能强大、操控灵活的中型铣刨机，配有一个机械驱动铣刨鼓。
